,well,BHP,Fluid_newest,Fluid_lowest,Fluid_median
1,MPG-14,580,2058.2655315186457,1212.8121305398877,1524.5745678355665
1,MPG-14,590,2028.440688552091,1195.2381437109889,1502.483056133017
1,MPG-14,600,1998.2024728486465,1177.4205811810657,1480.085355772081
1,MPG-14,610,1967.5508844083136,1159.3594429501186,1457.3814667527593
1,MPG-14,620,1936.485923231091,1141.054729018147,1434.3713890750514
1,MPG-14,630,1905.0075893169794,1122.5064393851512,1411.0551227389576
1,MPG-14,640,1873.1158826659785,1103.7145740511314,1387.4326677444778
1,MPG-14,650,1840.8108032780888,1084.6791330160872,1363.504024091612
1,MPG-14,660,1808.092351153309,1065.4001162800187,1339.26919178036
1,MPG-14,670,1774.9605262916407,1045.877523842926,1314.7281708107223
1,MPG-14,680,1741.4153286930832,1026.111355704809,1289.8809611826985
1,MPG-14,690,1707.4567583576365,1006.1016118656679,1264.7275628962886
1,MPG-14,700,1673.0848152853002,985.8482923255024,1239.2679759514926
1,MPG-14,710,1638.2994994760752,965.3513970843128,1213.5022003483111
1,MPG-14,720,1603.1008109299607,944.6109261420988,1187.4302360867432
1,MPG-14,730,1567.4887496469578,923.6268794988611,1161.0520831667898
1,MPG-14,740,1531.4633156270645,902.3992571545983,1134.3677415884495
1,MPG-14,750,1495.0245088702827,880.9280591093118,1107.3772113517239
1,MPG-14,760,1458.1723293766117,859.2132853630011,1080.080492456612
1,MPG-14,770,1420.9067771460507,837.2549359156656,1052.4775849031137
1,MPG-14,780,1383.2278521786016,815.0530107673064,1024.5684886912302
1,MPG-14,790,1345.1355544742628,792.6075099179229,996.3532038209604
1,MPG-14,800,1306.6298840330353,769.9184333675153,967.8317302923048
1,MPG-14,810,1267.7108408549177,746.9857811160829,939.0040681052625
1,MPG-14,820,1228.3784249399118,723.8095531636268,909.870217259835
1,MPG-14,830,1188.6326362880163,700.3897495101463,880.4301777560213
1,MPG-14,840,1148.4734748992316,676.7263701556415,850.6839495938212
1,MPG-14,850,1107.9009407735577,652.8194151001125,820.6315327732354
1,MPG-14,860,1066.915033910995,628.6688843435594,790.2729272942639
1,MPG-14,870,1025.5157543115427,604.2747778859818,759.608133156906
1,MPG-14,880,983.703101975201,579.6370957273799,728.637150361162
1,MPG-14,890,941.4770769019706,554.7558378677542,697.3599789070323
1,MPG-14,900,898.8376790918512,529.6310043071041,665.7766187945167
1,MPG-14,910,855.7849085448413,504.2625950454292,633.8870700236142
1,MPG-14,920,812.3187652609433,478.6506100827306,601.6913325943266
1,MPG-14,930,768.4392492401563,452.7950494190079,569.189406506653
1,MPG-14,940,724.1463604824796,426.6959130542606,536.3812917605931
1,MPG-14,950,679.4400989879138,400.35320098848916,503.2669883561471
1,MPG-14,960,634.3204647564592,373.7669132216937,469.84649629331557
1,MPG-14,970,588.7874577881151,346.9370497538739,436.1198155720978
1,MPG-14,980,542.8410780828818,319.86361058502973,402.08694619249394
1,MPG-14,990,496.48132564075934,292.5465957151614,367.7478881545041
1,MPG-14,1000,449.70820046174777,264.98600514426886,333.10264145812835
1,MPG-14,1010,402.52170254584644,237.1818388723518,298.15120610336623
1,MPG-14,1020,354.9218318930568,209.13409689941093,262.8935820902187
1,MPG-14,1030,306.90858850337764,180.8427792254457,227.32976941868495
1,MPG-14,1040,258.48197237680944,152.3078858504563,191.4597680887653
1,MPG-14,1050,209.64198351335185,123.52941677444252,155.2835781004595
1,MPG-14,1060,160.38862191300518,94.50737199740458,118.80119945376777
1,MPG-14,1070,110.72188757576909,65.24175151934226,82.01263214868987
1,MPG-14,1080,60.641780501643915,35.73255534025577,44.91787618522607
1,MPG-14,1090,10.148300690629332,5.979783460144912,7.516931563376102
2,MPG-16,0,709.0072665870812,709.0072665870812,468.2872197680528
2,MPG-16,10,707.3085420026762,707.3085420026762,467.1652411223164
2,MPG-16,20,705.4609697000319,705.4609697000319,465.9449510946972
2,MPG-16,30,703.4645496791485,703.4645496791485,464.62634968519535
2,MPG-16,40,701.3192819400259,701.3192819400259,463.20943689381085
2,MPG-16,50,699.0251664826641,699.0251664826641,461.69421272054353
2,MPG-16,60,696.5822033070629,696.5822033070629,460.0806771653935
2,MPG-16,70,693.9903924132225,693.9903924132225,458.36883022836076
2,MPG-16,80,691.2497338011431,691.2497338011431,456.55867190944537
