,well,BHP,Fluid_newest,Fluid_lowest,Fluid_median
0,MPB-28,1710,728.2925731619978,427.76505311385085,1064.6609111010973
0,MPB-28,1720,683.8846284011225,401.6818997915015,999.7427660155728
0,MPB-28,1730,639.2487752760651,375.4648837371923,934.4914510810075
0,MPB-28,1740,594.3850137868249,349.114004950923,868.9069662974009
0,MPB-28,1750,549.2933439334041,322.62926343269487,802.9893116647561
0,MPB-28,1760,503.97376571580014,296.01065918250634,736.738487183069
0,MPB-28,1770,458.4262791340139,269.258192200358,670.1544928523413
0,MPB-28,1780,412.6508841880466,242.37186248625054,603.2373286725746
0,MPB-28,1790,366.6475808778971,215.35167004018328,535.9869946437673
0,MPB-28,1800,320.41636920356535,188.19761486215623,468.4034907659194
0,MPB-28,1810,273.95724916505145,160.90969695216938,400.4868170390309
0,MPB-28,1820,227.27022076235477,133.48791631022243,332.236973463101
0,MPB-28,1830,180.35528399547698,105.93227293631632,263.653960038132
0,MPB-28,1840,133.21243886441647,78.24276683045012,194.7377767641217
0,MPB-28,1850,85.84168536917376,50.41939799262413,125.48842364107074
0,MPB-28,1860,38.24302350975105,22.462166422839637,55.9059006689824
1,MPB-30,0,711.1592542766105,827.4705078282428,1616.6989474404022
1,MPB-30,10,710.2796202016808,826.4470081686266,1614.6992497995157
1,MPB-30,20,709.3584939534054,825.3752302231794,1612.6052267982102
1,MPB-30,30,708.3958755317843,824.2551739919012,1610.4168784364854
1,MPB-30,40,707.3917649368174,823.086839474792,1608.1342047143414
1,MPB-30,50,706.3461621685047,821.8702266718519,1605.7572056317783
1,MPB-30,60,705.2590672268465,820.605335583081,1603.2858811887963
1,MPB-30,70,704.1304801118424,819.292166208479,1600.7202313853948
1,MPB-30,80,702.9604008234926,817.930718548046,1598.0602562215743
1,MPB-30,90,701.7488293617971,816.5209926017822,1595.3059556973344
1,MPB-30,100,700.4957657267557,815.0629883696872,1592.4573298126754
1,MPB-30,110,699.2012099183688,813.5567058517615,1589.5143785675975
1,MPB-30,120,697.865161936636,812.0021450480048,1586.4771019621003
1,MPB-30,130,696.4876217815576,810.399305958417,1583.345499996184
1,MPB-30,140,695.0685894531333,808.7481885829984,1580.1195726698484
1,MPB-30,150,693.6080649513633,807.0487929217487,1576.7993199830935
1,MPB-30,160,692.1060482762476,805.3011189746682,1573.3847419359195
1,MPB-30,170,690.5625394277861,803.5051667417566,1569.8758385283263
1,MPB-30,180,688.977538405979,801.6609362230141,1566.272609760314
1,MPB-30,190,687.351045210826,799.7684274184406,1562.5750556318826
1,MPB-30,200,685.6830598423273,797.8276403280362,1558.7831761430318
1,MPB-30,210,683.9735823004829,795.8385749518009,1554.8969712937621
1,MPB-30,220,682.2226125852928,793.8012312897346,1550.9164410840733
1,MPB-30,230,680.430150696757,791.7156093418373,1546.8415855139651
