,Well,pf_pres,bhp,Fluid_newest_interpolated,Fluid_lowest_interpolated,Fluid_median_interpolated
64,MPB-32,1900,610.2741432316642,282.42244640195617,268.8184515291935,300.8463743477241
65,MPB-32,1950,597.2505430293786,291.0869132313564,277.0655600224414,310.07607072805797
66,MPB-32,2000,584.2269428270929,299.6009810706326,285.1695140881579,319.14555678707774
67,MPB-32,2050,571.2033426248072,307.96717611285493,293.132718235326,328.05752351494993
68,MPB-32,2100,558.1797424225215,316.16872492885494,300.9392069933773,336.79410326193556
69,MPB-32,2150,545.1561422202358,324.21131230708755,308.5943913204321,345.36135166567044
70,MPB-32,2200,532.1325420179502,332.1060268882663,316.1088257289385,353.77108073825764
71,MPB-32,2250,519.1089418156645,339.84465769086586,323.4746947517929,362.01454385189487
72,MPB-32,2300,506.0853416133788,347.41576460805493,330.681109340186,370.0795546003448
73,MPB-32,2350,493.06174141109307,354.8389987281901,337.7467740100308,377.9870460176471
74,MPB-32,2400,480.0381412088075,362.1143600512714,344.67168876132706,385.73701810380174
75,MPB-32,2450,467.01454100652177,369.2143379735347,351.42966814741976,393.3001655911008
76,MPB-32,2500,453.99094080423606,376.1660916326264,358.04656307860284,400.7054193531182
77,MPB-32,2550,440.96734060195035,382.9699724946642,364.5227080912375,407.95315378398806
78,MPB-32,2600,427.94374039966476,389.6070324035271,370.84006774213344,415.0231846379387
79,MPB-32,2650,414.92014019737906,396.08730560157517,377.00819293465474,421.9262007446711
80,MPB-32,2700,401.89653999509335,402.41970600256934,383.0355682086277,428.671697520256
81,MPB-32,2750,388.87293979280764,408.5938478980321,388.9123081243269,435.24861174085834
82,MPB-32,2800,375.84933959052205,414.6026406350365,394.63166357818653,441.6493901923058
83,MPB-32,2850,362.82573938823634,420.4635605749872,400.2102691134978,447.8926493126058
84,MPB-32,2900,349.80213918595064,426.17478445704944,405.6463892940002,453.97644689985975
85,MPB-32,2950,336.77853898366493,431.71209673301036,410.91697500919815,459.87498769602234
86,MPB-32,3000,323.75493878137934,437.10153621191733,416.04681080584766,465.61600916103725
87,MPB-32,3050,310.73133857909363,442.34310289377055,421.03589668394886,471.1995112949046
88,MPB-32,3100,297.7077383768079,447.41567389549664,425.8641272276896,476.6029932558205
89,MPB-32,3150,284.6841381745222,452.3336329133602,430.5451932856775,481.8417770655506
90,MPB-32,3200,271.6605379722366,457.1037191341698,435.0855094251169,486.923041544133
91,MPB-32,3250,258.6369377699509,461.7133721224955,439.4731202336609,491.83340687170045
92,MPB-32,3300,245.6133375676652,466.1598506793154,443.705416552987,496.5699530261456
93,MPB-35,1800,3280.1331381932723,,,
94,MPB-35,1850,3256.80868580244,,,
95,MPB-35,1900,3233.484233411607,,,
96,MPB-35,1950,3210.159781020774,,,
97,MPB-35,2000,3186.835328629941,,,
98,MPB-35,2050,3163.5108762391083,,,
99,MPB-35,2100,3140.186423848276,,,
100,MPB-35,2150,3116.8619714574425,,,
101,MPB-35,2200,3093.53751906661,,,
102,MPB-35,2250,3070.213066675777,,,
103,MPB-35,2300,3046.888614284944,,,
104,MPB-35,2350,3023.5641618941117,,,
105,MPB-35,2400,3000.2397095032784,,,
106,MPB-35,2450,2976.915257112446,,,
107,MPB-35,2500,2953.590804721613,,,
108,MPB-35,2550,2930.26635233078,,,
109,MPB-35,2600,2906.9418999399472,,,
110,MPB-35,2650,2883.6174475491143,,,
111,MPB-35,2700,2860.292995158282,,,
112,MPB-35,2750,2836.9685427674485,,,
113,MPB-35,2800,2813.644090376616,,,
114,MPB-35,2850,2790.319637985783,,,
115,MPB-35,2900,2766.9951855949503,,,
116,MPB-35,2950,2743.670733204118,,,
117,MPB-35,3000,2720.3462808132845,,,
118,MPB-35,3050,2697.021828422452,,,
119,MPB-35,3100,2673.697376031619,,,
120,MPB-35,3150,2650.372923640786,,,
121,MPB-35,3200,2627.0484712499538,,,
122,MPB-35,3250,2603.7240188591204,,,
123,MPB-35,3300,2580.399566468288,,,
124,MPB-37,1800,496.0832851351933,784.5917088043561,967.0595153617758,531.9426406353758
125,MPB-37,1850,495.5643011507264,785.8287439439631,968.5842403737402,532.78133384528
