,Well,ResP,QMax,Avg_fluid,Avg_bhp
25,MPL-13,4000.0,654.888443978063,623.0666666666668,605.3609537351986
26,MPB-37,1511.111111111111,746.5982210400891,635.4222222222223,489.8718725708277
27,MPJ-27,,746.5982210400891,635.4222222222223,489.8718725708277
28,MPH-19,1155.5555555555557,866.9679670489381,441.29230769230765,772.2883798337488
29,MPK-05,3288.8888888888887,2936.069345186969,2779.6766666666663,531.874209296991
30,MPC-23,800.0,555.2888638040674,217.8705882352941,604.3547929077495
31,MPE-10,1511.111111111111,1540.0181818181818,1540.0181818181818,0.0
32,MPF-38,,1540.0181818181818,1540.0181818181818,0.0
33,MPG-16,800.0,674.4395713540443,268.3888888888889,601.1741197705043
34,MPF-37,1511.111111111111,1637.99,1637.99,0.0
35,MPL-55,800.0,1637.99,1637.99,0.0
36,MPS-47,1866.6666666666665,1791.7599999999998,1791.7599999999998,0.0
37,MPL-40,1155.5555555555557,851.3186418517197,689.8416666666667,436.4717560450892
38,MPS-23,1866.6666666666665,1972.9380952380948,1972.9380952380948,0.0
39,MPB-30,1866.6666666666665,1434.2621165009662,766.153125,1210.0489472003505
40,MPF-14,1511.111111111111,1507.8604634809026,1290.923076923077,479.19270452251
41,MPF-29,800.0,1025.7875854554943,411.0777777777778,599.5749745364969
42,MPL-02,1511.111111111111,1537.4804682956403,1299.8521739130433,501.64290849167554
43,MPL-56,1511.111111111111,1102.6577163617428,634.4666666666666,928.0848757368805
44,MPI-38,1511.111111111111,1378.8492986354943,1221.6090909090906,412.0919604535224
45,MPF-93,3288.8888888888887,2962.1018753746553,2708.8416666666667,740.0009881143029
46,MPL-41,1155.5555555555557,1128.632042050934,841.7866666666667,522.6989433259712
47,MPE-31,2577.777777777778,2421.022894832304,1798.48,1174.3338600586494
48,MPJ-28,1511.111111111111,1427.3130612073055,1257.2133333333334,424.1707360449548
49,MPG-14,1866.6666666666665,1282.2745575075035,1025.821739130435,728.7209508691526
50,MPF-116,1511.111111111111,1449.3017098513515,1003.8615384615385,766.5948798957818
51,MPM-64,1511.111111111111,1261.0195373744139,1121.3875,404.18487587657665
52,MPL-43,800.0,433.08000000000004,433.08000000000004,0.0
53,MPI-15,2222.222222222222,601.2010859670276,538.3529411764706,572.1955097105862
54,MPF-54,2222.222222222222,2150.253016172998,1895.4222222222222,621.5086469938774
55,MPC-22,2222.222222222222,2441.3121309561857,541.2514285714286,1931.622548475575
56,MPS-25,1155.5555555555557,1116.733164315318,942.7166666666667,385.61178289303285
57,MPL-07,1866.6666666666665,1930.0625,1930.0625,0.0
58,MPM-20,1511.111111111111,1036.5451316419721,822.7833333333333,601.2453560499473
59,MPM-10,1511.111111111111,1308.6641362318383,1007.5,643.3049865244213
60,MPE-24,4000.0,963.0157026192285,877.1,926.2907597605625
61,MPM-60,2222.222222222222,2035.4410979508052,1872.5916666666665,477.8878538736674
62,MPC-43,2222.222222222222,2076.8004680920517,990.8083333333334,1540.1982567795676
63,MPE-20,2933.333333333333,782.3877283680289,712.4272727272728,680.327706511234
64,MPF-09,1511.111111111111,1426.6557913291565,1161.9818181818182,562.9184162197332
65,MPS-203,800.0,669.9571359139715,280.11999999999995,589.5701259474993
