,Well,Date,Slope,Intercept
85,MPI-15,2024-04-02,1.070041843602963,-326.30173352567647
86,MPI-15,2024-04-04,12.682291197197316,-6967.141907771977
87,MPI-15,2024-04-06,1.987436950692167,-854.9685213698882
88,MPI-15,2024-04-07,5.236324030809649,-2700.9317367031513
89,MPI-15,2024-04-11,2.1413676252949165,-946.7404545235199
90,MPI-15,2024-04-14,3.343948430259352,-1633.3689476707766
91,MPI-15,2024-04-15,3.13898742577304,-1518.3192593523072
92,MPI-15,2024-04-16,2.6605106112528496,-1234.602064517605
93,MPI-15,2024-04-17,1.5116420320427006,-582.5534573346852
94,MPI-15,2024-04-21,0.9208882573271412,-243.82075324008218
95,MPI-15,2024-04-22,1.4866543472755465,-574.0603942930343
96,MPI-15,2024-04-25,14.169976082136698,-7807.1230843200365
