wellname,bhp_tag,headerP_tag
MPS-04,MPU_PI_80704,MPU_PI_8006
MPS-05,MPU_PI_80705,MPU_PI_8006
MPS-08,MPU_PI_80708,MPU_PI_8006
MPS-12,MPU_PI_80712,MPU_PI_8006
MPS-17,MPU_PI_80717,MPU_PI_8006
MPS-19,MPU_PI_80719,MPU_PI_8006
MPS-20,MPU_PI_807203,MPU_PI_8006
MPS-22,MPU_PI_80722,MPU_PI_8006
MPS-23,MPU_PI_80723,MPU_PI_8006
MPS-24,MPU_PI_80724,MPU_PI_8006
MPS-25,MPU_PI_80725,MPU_PI_8006
MPS-27,MPU_PI_80727,MPU_PI_8006
MPS-28,MPU_PI_80728,MPU_PI_8006
MPS-29,MPU_PI_80729,MPU_PI_8006
MPS-32,MPU_PI_80732,MPU_PI_8006
MPS-35,MPU_PI_80735,MPU_PI_8006
MPS-39,MPU_PI_80739,MPU_PI_8006
MPS-44,MPU_PI_80744,MPU_PI_8006
MPS-45,MPU_PI_80745,MPU_PI_8006
MPS-46,MPU_PI_80746,MPU_PI_8006
MPS-47,MPU_PI_80747,MPU_PI_8006
MPS-48,MPU_PI_80748,MPU_PI_8006
MPS-57,MPU_PI_80757,MPU_PI_8006
MPS-90,MPU_PI_80790,MPU_PI_8006
