,datetime,tag,value
159,2024-02-02 03:00:00+00:00,MPU_PI_32233,297.07874077253206
160,2024-02-02 03:00:00+00:00,MPU_PI_32306,0.0
161,2024-02-02 03:00:00+00:00,MPU_PI_32715,614.990107826087
162,2024-02-02 03:00:00+00:00,MPU_PI_33206,296.48003478260864
163,2024-02-02 03:00:00+00:00,MPU_PI_32736,634.1399795019157
164,2024-02-02 03:00:00+00:00,MPU_PI_32740,0.0
165,2024-02-02 03:00:00+00:00,MPU_PI_32727,422.7426666666667
166,2024-02-02 03:00:00+00:00,MPU_PI_33227,291.75589213483147
167,2024-02-02 03:00:00+00:00,MPU_PI_33229,287.0362711764703
168,2024-02-02 03:00:00+00:00,MPU_PI_3305,278.0533555555556
169,2024-02-02 03:00:00+00:00,MPU_PI_33210,651.2407000000001
170,2024-02-02 03:00:00+00:00,MPU_PI_32733,746.4307222222224
171,2024-02-02 03:00:00+00:00,MPU_PI_32731,675.9608797752809
172,2024-02-02 03:00:00+00:00,MPU_PI_32729,532.1304477941176
173,2024-02-02 03:00:00+00:00,MPU_PI_33228,276.3552
174,2024-02-02 03:00:00+00:00,MPU_PI_33306,418.61153846153843
175,2024-02-02 03:00:00+00:00,MPU_PI_32717,0.0
176,2024-02-02 03:00:00+00:00,MPU_PI_33310,-3042.0
177,2024-02-02 03:00:00+00:00,MPU_PI_32206,281.50890404280636
178,2024-02-02 03:00:00+00:00,MPU_PI_31219,241.73358
179,2024-02-02 03:00:00+00:00,MPU_PI_31218,242.30389649507097
180,2024-02-02 03:00:00+00:00,MPU_PI_31216,91.41006925951504
181,2024-02-02 03:00:00+00:00,MPU_PI_31719,826.3613
182,2024-02-02 03:00:00+00:00,MPU_PI_3205,274.18871712328774
183,2024-02-02 03:00:00+00:00,MPU_PI_31716,1044.2666666666667
184,2024-02-02 03:00:00+00:00,MPU_PI_30216,264.8304867469879
185,2024-02-02 03:00:00+00:00,MPU_PI_30214,255.36342857142859
186,2024-02-02 03:00:00+00:00,MPU_PI_31208,280.92768
187,2024-02-02 03:00:00+00:00,MPU_PI_3110,233.83805593220333
188,2024-02-02 03:00:00+00:00,MPU_PI_30302,450.14756554307127
189,2024-02-02 03:00:00+00:00,MPU_PI_30218,274.4808
190,2024-02-02 03:00:00+00:00,MPU_PI_30716,602.446380510441
191,2024-02-02 03:00:00+00:00,MPU_PI_30314,1216.4863636363636
192,2024-02-02 03:00:00+00:00,MPU_PI_30202,252.79584
193,2024-02-02 03:00:00+00:00,MPU_PI_3001,234.33998560541946
194,2024-02-02 03:00:00+00:00,MPU_PI_30718,792.8529411764706
195,2024-02-02 04:00:00+00:00,MPU_PI_32227,322.9974713153724
196,2024-02-02 04:00:00+00:00,MPU_PI_32215,288.64095102439023
197,2024-02-02 04:00:00+00:00,MPU_PI_32217,285.0920657439446
198,2024-02-02 04:00:00+00:00,MPU_PI_32220,281.928488272583
199,2024-02-02 04:00:00+00:00,MPU_PI_33328,432.845945945946
200,2024-02-02 04:00:00+00:00,MPU_PI_33329,1003.8712121212119
201,2024-02-02 04:00:00+00:00,MPU_PI_32236,299.506130323194
202,2024-02-02 04:00:00+00:00,MPU_PI_32231,305.928176
203,2024-02-02 04:00:00+00:00,MPU_PI_32238,279.49293496115433
204,2024-02-02 04:00:00+00:00,MPU_PI_32320,340.8541666666667
205,2024-02-02 04:00:00+00:00,MPU_PI_32240,289.2109130641331
206,2024-02-02 04:00:00+00:00,MPU_PI_32233,294.34286709401715
207,2024-02-02 04:00:00+00:00,MPU_PI_32306,0.0
208,2024-02-02 04:00:00+00:00,MPU_PI_32229,291.65190142630746
209,2024-02-02 04:00:00+00:00,MPU_PI_32338,360.30232558139534
210,2024-02-02 04:00:00+00:00,MPU_PI_32715,613.9723799999999
211,2024-02-02 04:00:00+00:00,MPU_PI_33306,413.50357142857143
212,2024-02-02 04:00:00+00:00,MPU_PI_32731,675.853444329897
213,2024-02-02 04:00:00+00:00,MPU_PI_33227,288.6126857142857
214,2024-02-02 04:00:00+00:00,MPU_PI_33229,285.29950492505355
215,2024-02-02 04:00:00+00:00,MPU_PI_33228,273.3179428571429
216,2024-02-02 04:00:00+00:00,MPU_PI_3305,273.90014666666667
217,2024-02-02 04:00:00+00:00,MPU_PI_32733,746.9568130434785
218,2024-02-02 04:00:00+00:00,MPU_PI_32736,634.400030592734
219,2024-02-02 04:00:00+00:00,MPU_PI_33210,650.1665739130436
220,2024-02-02 04:00:00+00:00,MPU_PI_32727,422.60687
221,2024-02-02 04:00:00+00:00,MPU_PI_32729,529.5672485074625
222,2024-02-02 04:00:00+00:00,MPU_PI_33206,293.3497170731707
223,2024-02-02 04:00:00+00:00,MPU_PI_32717,0.0
224,2024-02-02 04:00:00+00:00,MPU_PI_32740,0.0
225,2024-02-02 04:00:00+00:00,MPU_PI_31216,92.19343847994278
226,2024-02-02 04:00:00+00:00,MPU_PI_31219,237.88512000000006
227,2024-02-02 04:00:00+00:00,MPU_PI_32206,279.13601681528655
228,2024-02-02 04:00:00+00:00,MPU_PI_31716,1041.9
229,2024-02-02 04:00:00+00:00,MPU_PI_31218,238.83725885416672
230,2024-02-02 04:00:00+00:00,MPU_PI_3205,271.16637469342254
231,2024-02-02 04:00:00+00:00,MPU_PI_31719,826.8243
232,2024-02-02 04:00:00+00:00,MPU_PI_30216,265.63679999999994
233,2024-02-02 04:00:00+00:00,MPU_PI_30716,602.7368736616705
234,2024-02-02 04:00:00+00:00,MPU_PI_3001,232.47185684210544
235,2024-02-02 04:00:00+00:00,MPU_PI_30218,275.65296
236,2024-02-02 04:00:00+00:00,MPU_PI_31208,277.95820799999996
237,2024-02-02 04:00:00+00:00,MPU_PI_30214,269.52166153846156
238,2024-02-02 04:00:00+00:00,MPU_PI_30314,1219.2740157480314
239,2024-02-02 04:00:00+00:00,MPU_PI_30718,793.5263157894736
240,2024-02-02 04:00:00+00:00,MPU_PI_3110,231.1816790697674
241,2024-02-02 04:00:00+00:00,MPU_PI_30302,463.82560000000007
242,2024-02-02 04:00:00+00:00,MPU_PI_30202,247.13039999999998
243,2024-02-02 05:00:00+00:00,MPU_PI_32217,271.9202112980769
244,2024-02-02 05:00:00+00:00,MPU_PI_32215,275.9113878980892
245,2024-02-02 05:00:00+00:00,MPU_PI_32220,269.0913247217807
246,2024-02-02 05:00:00+00:00,MPU_PI_32227,285.5005778219394
247,2024-02-02 05:00:00+00:00,MPU_PI_33328,428.6450000000001
248,2024-02-02 05:00:00+00:00,MPU_PI_33329,960.2921874999997
249,2024-02-02 05:00:00+00:00,MPU_PI_32306,0.0
250,2024-02-02 05:00:00+00:00,MPU_PI_32231,292.4129714285714
251,2024-02-02 05:00:00+00:00,MPU_PI_32320,329.6111111111111
252,2024-02-02 05:00:00+00:00,MPU_PI_32236,286.6096749042146
253,2024-02-02 05:00:00+00:00,MPU_PI_32238,267.256175257732
254,2024-02-02 05:00:00+00:00,MPU_PI_32240,276.07043187599385
255,2024-02-02 05:00:00+00:00,MPU_PI_32338,350.95
256,2024-02-02 05:00:00+00:00,MPU_PI_32233,281.03904080717484
257,2024-02-02 05:00:00+00:00,MPU_PI_32229,318.0602089101034
258,2024-02-02 05:00:00+00:00,MPU_PI_33228,259.45786329113923
259,2024-02-02 05:00:00+00:00,MPU_PI_33227,273.7893573033708
260,2024-02-02 05:00:00+00:00,MPU_PI_3305,260.21545
261,2024-02-02 05:00:00+00:00,MPU_PI_32715,613.3762554455445
262,2024-02-02 05:00:00+00:00,MPU_PI_33206,286.78505263157894
263,2024-02-02 05:00:00+00:00,MPU_PI_32736,633.8639389413986
264,2024-02-02 05:00:00+00:00,MPU_PI_32731,675.6124102040818
265,2024-02-02 05:00:00+00:00,MPU_PI_32717,0.0
266,2024-02-02 05:00:00+00:00,MPU_PI_33210,650.4213913043479
267,2024-02-02 05:00:00+00:00,MPU_PI_33229,270.1383920792078
268,2024-02-02 05:00:00+00:00,MPU_PI_33306,411.40909090909093
269,2024-02-02 05:00:00+00:00,MPU_PI_32727,421.9909303030302
270,2024-02-02 05:00:00+00:00,MPU_PI_32733,746.7300854545455
271,2024-02-02 05:00:00+00:00,MPU_PI_32729,535.4629037313432
272,2024-02-02 05:00:00+00:00,MPU_PI_32740,0.0
273,2024-02-02 05:00:00+00:00,MPU_PI_31218,228.20860042283275
274,2024-02-02 05:00:00+00:00,MPU_PI_3205,257.89505146726884
275,2024-02-02 05:00:00+00:00,MPU_PI_31716,1037.6000000000001
276,2024-02-02 05:00:00+00:00,MPU_PI_31719,827.3664
277,2024-02-02 05:00:00+00:00,MPU_PI_32206,265.8128741895262
278,2024-02-02 05:00:00+00:00,MPU_PI_31219,227.30318012422364
279,2024-02-02 05:00:00+00:00,MPU_PI_31216,92.6482693167693
280,2024-02-02 05:00:00+00:00,MPU_PI_31208,266.8292
281,2024-02-02 05:00:00+00:00,MPU_PI_30218,268.62
282,2024-02-02 05:00:00+00:00,MPU_PI_30314,1166.648387096774
283,2024-02-02 05:00:00+00:00,MPU_PI_30202,248.4328
284,2024-02-02 05:00:00+00:00,MPU_PI_30302,461.7592307692307
285,2024-02-02 05:00:00+00:00,MPU_PI_3110,220.00110780141867
286,2024-02-02 05:00:00+00:00,MPU_PI_30214,260.47999999999996
287,2024-02-02 05:00:00+00:00,MPU_PI_30716,602.7458799171844
288,2024-02-02 05:00:00+00:00,MPU_PI_3001,226.0794719999999
289,2024-02-02 05:00:00+00:00,MPU_PI_30718,792.7826086956521
290,2024-02-02 05:00:00+00:00,MPU_PI_30216,258.1923428571428
291,2024-02-02 06:00:00+00:00,MPU_PI_32227,267.1057188694268
292,2024-02-02 06:00:00+00:00,MPU_PI_32217,265.62693378712873
293,2024-02-02 06:00:00+00:00,MPU_PI_32220,263.00352651273874
294,2024-02-02 06:00:00+00:00,MPU_PI_32215,269.90968137860074
295,2024-02-02 06:00:00+00:00,MPU_PI_33329,937.9761904761905
296,2024-02-02 06:00:00+00:00,MPU_PI_33328,429.2513513513514
297,2024-02-02 06:00:00+00:00,MPU_PI_32320,323.92857142857144
298,2024-02-02 06:00:00+00:00,MPU_PI_32233,276.451115920398
299,2024-02-02 06:00:00+00:00,MPU_PI_32229,330.5988253386454
300,2024-02-02 06:00:00+00:00,MPU_PI_32231,286.2472333333333
301,2024-02-02 06:00:00+00:00,MPU_PI_32240,270.7991915537848
302,2024-02-02 06:00:00+00:00,MPU_PI_32338,345.3157894736842
303,2024-02-02 06:00:00+00:00,MPU_PI_32238,261.18796024242414
304,2024-02-02 06:00:00+00:00,MPU_PI_32236,280.5908705314009
305,2024-02-02 06:00:00+00:00,MPU_PI_32306,0.0
306,2024-02-02 06:00:00+00:00,MPU_PI_33228,253.73006153846154
307,2024-02-02 06:00:00+00:00,MPU_PI_32733,746.6457982142856
308,2024-02-02 06:00:00+00:00,MPU_PI_33206,287.19696
309,2024-02-02 06:00:00+00:00,MPU_PI_32727,421.37562348484846
310,2024-02-02 06:00:00+00:00,MPU_PI_32729,551.5262992537314
311,2024-02-02 06:00:00+00:00,MPU_PI_33229,265.08891622002807
312,2024-02-02 06:00:00+00:00,MPU_PI_32715,612.6990552631579
313,2024-02-02 06:00:00+00:00,MPU_PI_3305,254.1773142857143
314,2024-02-02 06:00:00+00:00,MPU_PI_33210,650.8596
315,2024-02-02 06:00:00+00:00,MPU_PI_32736,633.9494535104359
316,2024-02-02 06:00:00+00:00,MPU_PI_33306,411.9541666666666
317,2024-02-02 06:00:00+00:00,MPU_PI_32731,676.2517561224489
318,2024-02-02 06:00:00+00:00,MPU_PI_33227,268.9956923076923
319,2024-02-02 06:00:00+00:00,MPU_PI_32717,0.0
320,2024-02-02 06:00:00+00:00,MPU_PI_32740,0.0
321,2024-02-02 06:00:00+00:00,MPU_PI_31216,93.65156530967228
322,2024-02-02 06:00:00+00:00,MPU_PI_31716,1022.375
323,2024-02-02 06:00:00+00:00,MPU_PI_32206,259.9582516752577
324,2024-02-02 06:00:00+00:00,MPU_PI_31219,222.01131764705877
325,2024-02-02 06:00:00+00:00,MPU_PI_31218,222.8843622176595
326,2024-02-02 06:00:00+00:00,MPU_PI_3205,251.50795626450125
327,2024-02-02 06:00:00+00:00,MPU_PI_31719,827.3824
328,2024-02-02 06:00:00+00:00,MPU_PI_3001,219.97187142857132
329,2024-02-02 06:00:00+00:00,MPU_PI_31208,261.41610000000003
330,2024-02-02 06:00:00+00:00,MPU_PI_30218,264.0912000000001
331,2024-02-02 06:00:00+00:00,MPU_PI_30314,1137.1086021505375
332,2024-02-02 06:00:00+00:00,MPU_PI_30716,602.8510492505352
333,2024-02-02 06:00:00+00:00,MPU_PI_30202,235.0832
334,2024-02-02 06:00:00+00:00,MPU_PI_30718,794.5263157894736
335,2024-02-02 06:00:00+00:00,MPU_PI_30302,435.1901234567901
336,2024-02-02 06:00:00+00:00,MPU_PI_30214,254.9448
337,2024-02-02 06:00:00+00:00,MPU_PI_3110,214.2639181598063
338,2024-02-02 06:00:00+00:00,MPU_PI_30216,252.74104390243906
339,2024-02-02 07:00:00+00:00,MPU_PI_32227,268.26597778662415
340,2024-02-02 07:00:00+00:00,MPU_PI_32220,264.40564036624204
341,2024-02-02 07:00:00+00:00,MPU_PI_32215,271.22546328600407
342,2024-02-02 07:00:00+00:00,MPU_PI_32217,266.80257327478046
