,well,BHP,Fluid_oldest,Fluid_lowest,Fluid_median
0,MPG-02,5090,11.081826521055094,10.499103769046284,12.143455621839434
0,MPG-02,5100,9.145575833203747,8.664668186065958,10.02171384434405
0,MPG-02,5110,7.205950931070856,6.827035817265749,7.896274605847212
0,MPG-02,5120,5.262951814656238,4.98620666264548,5.767137906348715
0,MPG-02,5130,3.316578483959953,3.1421807222052105,3.634303745848628
0,MPG-02,5140,1.3668309389820634,1.294957995945,1.4977721243470181
1,MPG-14,0,3699.9815521115725,1818.3468789640008,2013.6652099956457
1,MPG-14,10,3692.956804837038,1814.894584107322,2009.8420857458318
1,MPG-14,20,3685.4356089918647,1811.1983108155423,2005.7487760366669
1,MPG-14,30,3677.4179645760532,1807.2580590886616,2001.3852808681513
1,MPG-14,40,3668.903871589603,1803.07382892668,1996.751600240285
1,MPG-14,50,3659.8933300325148,1798.6456203295977,1991.847734153068
1,MPG-14,60,3650.3863399047877,1793.9734332974142,1986.6736826064998
1,MPG-14,70,3640.3829012064225,1789.0572678301298,1981.2294456005811
1,MPG-14,80,3629.883013937418,1783.8971239277441,1975.5150231353114
1,MPG-14,90,3618.8866780977755,1778.4930015902576,1969.5304152106908
1,MPG-14,100,3607.3938936874947,1772.8449008176701,1963.2756218267195
1,MPG-14,110,3595.404660706575,1766.952821609982,1956.7506429833977
1,MPG-14,120,3582.9189791550175,1760.8167639671926,1949.9554786807248
1,MPG-14,130,3569.936849032821,1754.4367278893023,1942.8901289187013
1,MPG-14,140,3556.458270339986,1747.812713376311,1935.5545936973267
1,MPG-14,150,3542.4832430765127,1740.9447204282187,1927.9488730166013
1,MPG-14,160,3528.0117672424008,1733.8327490450256,1920.0729668765252
1,MPG-14,170,3513.0438428376506,1726.4767992267316,1911.9268752770986
1,MPG-14,180,3497.5794698622617,1718.8768709733363,1903.5105982183209
1,MPG-14,190,3481.6186483162346,1711.0329642848403,1894.8241357001923
1,MPG-14,200,3465.1613781995684,1702.945079161243,1885.867487722713
1,MPG-14,210,3448.2076595122644,1694.613215602545,1876.6406542858829
1,MPG-14,220,3430.7574922543217,1686.037373608746,1867.1436353897018
1,MPG-14,230,3412.8108764257404,1677.2175531798462,1857.3764310341703
1,MPG-14,240,3394.367812026521,1668.1537543158454,1847.3390412192878
1,MPG-14,250,3375.428299056662,1658.8459770167433,1837.0314659450542
1,MPG-14,260,3355.992337516165,1649.2942212825403,1826.45370521147
1,MPG-14,270,3336.05992740503,1639.4984871132365,1815.6057590185349
1,MPG-14,280,3315.6310687232562,1629.4587745088315,1804.4876273662492
1,MPG-14,290,3294.7057614708447,1619.175083469326,1793.0993102546126
1,MPG-14,300,3273.284005647794,1608.6474139947193,1781.4408076836253
1,MPG-14,310,3251.3658012541046,1597.8757660850115,1769.512119653287
1,MPG-14,320,3228.951148289777,1586.8601397402028,1757.3132461635978
1,MPG-14,330,3206.0400467548106,1575.600534960293,1744.8441872145581
